2018-12-24 18:43:36 , OrderId: 1-1163902 , CUSIP: 9128285Q9 , Side: Bid , Price: 100.031 , VisibleQuantity: 1000000 , HiddenQuantity: 1000000 , ParentOrderId: 1-1 , IsChildOrder: No
2018-12-24 18:43:36 , OrderId: 2-2835174 , CUSIP: 9128285R7 , Side: Ask , Price: 100.965 , VisibleQuantity: 1000000 , HiddenQuantity: 1000000 , ParentOrderId: 2-2 , IsChildOrder: No
2018-12-24 18:43:36 , OrderId: 3-521598 , CUSIP: 9128285P1 , Side: Bid , Price: 100.949 , VisibleQuantity: 1000000 , HiddenQuantity: 1000000 , ParentOrderId: 3-5 , IsChildOrder: No
2018-12-24 18:43:36 , OrderId: 4-6160107 , CUSIP: 9128285N6 , Side: Ask , Price: 100.77 , VisibleQuantity: 1000000 , HiddenQuantity: 1000000 , ParentOrderId: 4-6 , IsChildOrder: No
2018-12-24 18:43:36 , OrderId: 5-1726490 , CUSIP: 9128285M8 , Side: Bid , Price: 99.2344 , VisibleQuantity: 1000000 , HiddenQuantity: 1000000 , ParentOrderId: 5-1 , IsChildOrder: No
2018-12-24 18:43:36 , OrderId: 6-8713182 , CUSIP: 912810SE9 , Side: Ask , Price: 99.0781 , VisibleQuantity: 1000000 , HiddenQuantity: 1000000 , ParentOrderId: 6-8 , IsChildOrder: No
2018-12-24 18:43:36 , OrderId: 7-974979 , CUSIP: 9128285Q9 , Side: Bid , Price: 99.1055 , VisibleQuantity: 1000000 , HiddenQuantity: 1000000 , ParentOrderId: 7-9 , IsChildOrder: No
2018-12-24 18:43:36 , OrderId: 8-8282420 , CUSIP: 9128285R7 , Side: Ask , Price: 99.043 , VisibleQuantity: 1000000 , HiddenQuantity: 1000000 , ParentOrderId: 8-8 , IsChildOrder: No
2018-12-24 18:43:36 , OrderId: 9-1541267 , CUSIP: 9128285P1 , Side: Bid , Price: 99.4219 , VisibleQuantity: 1000000 , HiddenQuantity: 1000000 , ParentOrderId: 9-1 , IsChildOrder: No
2018-12-24 18:43:36 , OrderId: 10-6353911 , CUSIP: 9128285N6 , Side: Ask , Price: 99.957 , VisibleQuantity: 1000000 , HiddenQuantity: 1000000 , ParentOrderId: 10-6 , IsChildOrder: No
2018-12-24 18:43:36 , OrderId: 11-4293343 , CUSIP: 9128285M8 , Side: Bid , Price: 99.0938 , VisibleQuantity: 1000000 , HiddenQuantity: 1000000 , ParentOrderId: 11-4 , IsChildOrder: No
2018-12-24 18:43:36 , OrderId: 12-6237099 , CUSIP: 912810SE9 , Side: Ask , Price: 99.543 , VisibleQuantity: 1000000 , HiddenQuantity: 1000000 , ParentOrderId: 12-6 , IsChildOrder: No
