2018-12-24 18:43:38 , InquiryID: 1 , CUSIP: 9128285Q9 , InquiryState: RECEIVED , Side: 0 , Price: 100.914 , Quantity: 2000000
2018-12-24 18:43:38 , InquiryID: 1 , CUSIP: 9128285Q9 , InquiryState: DONE , Side: 0 , Price: 100 , Quantity: 2000000
2018-12-24 18:43:38 , InquiryID: 2 , CUSIP: 9128285R7 , InquiryState: RECEIVED , Side: 1 , Price: 99.2305 , Quantity: 3000000
2018-12-24 18:43:38 , InquiryID: 2 , CUSIP: 9128285R7 , InquiryState: DONE , Side: 1 , Price: 100 , Quantity: 3000000
2018-12-24 18:43:38 , InquiryID: 3 , CUSIP: 9128285P1 , InquiryState: RECEIVED , Side: 0 , Price: 100.508 , Quantity: 1000000
2018-12-24 18:43:38 , InquiryID: 3 , CUSIP: 9128285P1 , InquiryState: DONE , Side: 0 , Price: 100 , Quantity: 1000000
2018-12-24 18:43:38 , InquiryID: 4 , CUSIP: 9128285N6 , InquiryState: RECEIVED , Side: 0 , Price: 99.3203 , Quantity: 3000000
2018-12-24 18:43:38 , InquiryID: 4 , CUSIP: 9128285N6 , InquiryState: DONE , Side: 0 , Price: 100 , Quantity: 3000000
2018-12-24 18:43:38 , InquiryID: 5 , CUSIP: 9128285M8 , InquiryState: RECEIVED , Side: 0 , Price: 100.957 , Quantity: 4000000
2018-12-24 18:43:38 , InquiryID: 5 , CUSIP: 9128285M8 , InquiryState: DONE , Side: 0 , Price: 100 , Quantity: 4000000
2018-12-24 18:43:38 , InquiryID: 6 , CUSIP: 912810SE9 , InquiryState: RECEIVED , Side: 1 , Price: 100.652 , Quantity: 3000000
2018-12-24 18:43:38 , InquiryID: 6 , CUSIP: 912810SE9 , InquiryState: DONE , Side: 1 , Price: 100 , Quantity: 3000000
2018-12-24 18:43:38 , InquiryID: 7 , CUSIP: 9128285Q9 , InquiryState: RECEIVED , Side: 1 , Price: 99.3828 , Quantity: 1000000
2018-12-24 18:43:38 , InquiryID: 7 , CUSIP: 9128285Q9 , InquiryState: DONE , Side: 1 , Price: 100 , Quantity: 1000000
2018-12-24 18:43:38 , InquiryID: 8 , CUSIP: 9128285R7 , InquiryState: RECEIVED , Side: 1 , Price: 99.8125 , Quantity: 2000000
2018-12-24 18:43:38 , InquiryID: 8 , CUSIP: 9128285R7 , InquiryState: DONE , Side: 1 , Price: 100 , Quantity: 2000000
2018-12-24 18:43:38 , InquiryID: 9 , CUSIP: 9128285P1 , InquiryState: RECEIVED , Side: 0 , Price: 99.4961 , Quantity: 1000000
2018-12-24 18:43:38 , InquiryID: 9 , CUSIP: 9128285P1 , InquiryState: DONE , Side: 0 , Price: 100 , Quantity: 1000000
2018-12-24 18:43:38 , InquiryID: 10 , CUSIP: 9128285N6 , InquiryState: RECEIVED , Side: 0 , Price: 99.8047 , Quantity: 1000000
2018-12-24 18:43:38 , InquiryID: 10 , CUSIP: 9128285N6 , InquiryState: DONE , Side: 0 , Price: 100 , Quantity: 1000000
2018-12-24 18:43:38 , InquiryID: 11 , CUSIP: 9128285M8 , InquiryState: RECEIVED , Side: 1 , Price: 100.152 , Quantity: 1000000
2018-12-24 18:43:38 , InquiryID: 11 , CUSIP: 9128285M8 , InquiryState: DONE , Side: 1 , Price: 100 , Quantity: 1000000
2018-12-24 18:43:38 , InquiryID: 12 , CUSIP: 912810SE9 , InquiryState: RECEIVED , Side: 1 , Price: 99.1289 , Quantity: 4000000
2018-12-24 18:43:38 , InquiryID: 12 , CUSIP: 912810SE9 , InquiryState: DONE , Side: 1 , Price: 100 , Quantity: 4000000
2018-12-24 18:43:38 , InquiryID: 13 , CUSIP: 9128285Q9 , InquiryState: RECEIVED , Side: 0 , Price: 99.0898 , Quantity: 6000000
