Time, CUSIP, Mid, Spread
2018-12-24 18:43:06 , 9128285Q9 , 100.902344 , 0.011719
2018-12-24 18:43:06 , 9128285R7 , 100.613281 , 0.015625
2018-12-24 18:43:07 , 9128285P1 , 100.679688 , 0.015625
2018-12-24 18:43:07 , 9128285N6 , 99.445312 , 0.015625
2018-12-24 18:43:07 , 9128285M8 , 100.730469 , 0.011719
2018-12-24 18:43:08 , 912810SE9 , 99.468750 , 0.015625
2018-12-24 18:43:08 , 9128285Q9 , 99.398438 , 0.015625
2018-12-24 18:43:08 , 9128285R7 , 100.394531 , 0.015625
2018-12-24 18:43:09 , 9128285P1 , 100.550781 , 0.011719
2018-12-24 18:43:09 , 9128285N6 , 99.625000 , 0.011719
2018-12-24 18:43:09 , 9128285M8 , 99.011719 , 0.011719
2018-12-24 18:43:09 , 912810SE9 , 100.441406 , 0.015625
2018-12-24 18:43:10 , 9128285Q9 , 99.273438 , 0.007812
2018-12-24 18:43:10 , 9128285R7 , 99.738281 , 0.007812
2018-12-24 18:43:10 , 9128285P1 , 99.453125 , 0.011719
2018-12-24 18:43:11 , 9128285N6 , 99.964844 , 0.015625
2018-12-24 18:43:11 , 9128285M8 , 100.062500 , 0.011719
2018-12-24 18:43:11 , 912810SE9 , 99.898438 , 0.007812
2018-12-24 18:43:12 , 9128285Q9 , 99.542969 , 0.011719
2018-12-24 18:43:12 , 9128285R7 , 100.792969 , 0.007812
2018-12-24 18:43:12 , 9128285P1 , 100.082031 , 0.015625
2018-12-24 18:43:12 , 9128285N6 , 100.808594 , 0.007812
2018-12-24 18:43:13 , 9128285M8 , 99.605469 , 0.015625
2018-12-24 18:43:13 , 912810SE9 , 99.617188 , 0.011719
2018-12-24 18:43:13 , 9128285Q9 , 99.210938 , 0.011719
2018-12-24 18:43:14 , 9128285R7 , 100.214844 , 0.015625
2018-12-24 18:43:14 , 9128285P1 , 99.460938 , 0.011719
2018-12-24 18:43:14 , 9128285N6 , 100.632812 , 0.015625
2018-12-24 18:43:15 , 9128285M8 , 99.328125 , 0.015625
2018-12-24 18:43:15 , 912810SE9 , 99.117188 , 0.011719
2018-12-24 18:43:15 , 9128285Q9 , 99.085938 , 0.011719
2018-12-24 18:43:15 , 9128285R7 , 100.089844 , 0.015625
2018-12-24 18:43:16 , 9128285P1 , 99.980469 , 0.011719
2018-12-24 18:43:16 , 9128285N6 , 100.160156 , 0.007812
2018-12-24 18:43:16 , 9128285M8 , 99.890625 , 0.011719
2018-12-24 18:43:17 , 912810SE9 , 100.046875 , 0.011719
2018-12-24 18:43:17 , 9128285Q9 , 100.621094 , 0.011719
2018-12-24 18:43:17 , 9128285R7 , 99.058594 , 0.011719
2018-12-24 18:43:18 , 9128285P1 , 99.910156 , 0.007812
2018-12-24 18:43:18 , 9128285N6 , 100.777344 , 0.015625
2018-12-24 18:43:18 , 9128285M8 , 100.113281 , 0.011719
2018-12-24 18:43:18 , 912810SE9 , 100.910156 , 0.011719
2018-12-24 18:43:19 , 9128285Q9 , 100.121094 , 0.015625
2018-12-24 18:43:19 , 9128285R7 , 99.058594 , 0.015625
2018-12-24 18:43:19 , 9128285P1 , 100.019531 , 0.007812
2018-12-24 18:43:20 , 9128285N6 , 100.710938 , 0.015625
2018-12-24 18:43:20 , 9128285M8 , 99.488281 , 0.011719
2018-12-24 18:43:20 , 912810SE9 , 100.687500 , 0.015625
2018-12-24 18:43:21 , 9128285Q9 , 99.062500 , 0.007812
2018-12-24 18:43:21 , 9128285R7 , 99.617188 , 0.007812
2018-12-24 18:43:21 , 9128285P1 , 100.839844 , 0.007812
2018-12-24 18:43:21 , 9128285N6 , 99.277344 , 0.015625
2018-12-24 18:43:22 , 9128285M8 , 100.472656 , 0.015625
2018-12-24 18:43:22 , 912810SE9 , 100.433594 , 0.007812
2018-12-24 18:43:22 , 9128285Q9 , 100.734375 , 0.007812
2018-12-24 18:43:23 , 9128285R7 , 99.933594 , 0.015625
2018-12-24 18:43:23 , 9128285P1 , 99.371094 , 0.007812
2018-12-24 18:43:23 , 9128285N6 , 100.113281 , 0.015625
2018-12-24 18:43:24 , 9128285M8 , 99.906250 , 0.011719
2018-12-24 18:43:24 , 912810SE9 , 100.203125 , 0.015625
2018-12-24 18:43:24 , 9128285Q9 , 100.523438 , 0.011719
2018-12-24 18:43:24 , 9128285R7 , 100.148438 , 0.011719
2018-12-24 18:43:25 , 9128285P1 , 99.800781 , 0.007812
2018-12-24 18:43:25 , 9128285N6 , 99.324219 , 0.011719
2018-12-24 18:43:25 , 9128285M8 , 100.703125 , 0.007812
2018-12-24 18:43:26 , 912810SE9 , 100.843750 , 0.011719
2018-12-24 18:43:26 , 9128285Q9 , 100.375000 , 0.011719
2018-12-24 18:43:26 , 9128285R7 , 99.261719 , 0.007812
2018-12-24 18:43:27 , 9128285P1 , 100.347656 , 0.011719
2018-12-24 18:43:27 , 9128285N6 , 99.785156 , 0.015625
2018-12-24 18:43:27 , 9128285M8 , 99.312500 , 0.007812
2018-12-24 18:43:27 , 912810SE9 , 100.203125 , 0.007812
2018-12-24 18:43:28 , 9128285Q9 , 99.296875 , 0.015625
2018-12-24 18:43:28 , 9128285R7 , 100.835938 , 0.011719
2018-12-24 18:43:28 , 9128285P1 , 100.660156 , 0.011719
2018-12-24 18:43:29 , 9128285N6 , 100.179688 , 0.011719
2018-12-24 18:43:29 , 9128285M8 , 99.996094 , 0.007812
2018-12-24 18:43:29 , 912810SE9 , 99.562500 , 0.015625
2018-12-24 18:43:30 , 9128285Q9 , 100.011719 , 0.015625
2018-12-24 18:43:30 , 9128285R7 , 100.738281 , 0.007812
2018-12-24 18:43:30 , 9128285P1 , 99.480469 , 0.015625
2018-12-24 18:43:30 , 9128285N6 , 100.027344 , 0.015625
2018-12-24 18:43:31 , 9128285M8 , 100.710938 , 0.011719
2018-12-24 18:43:31 , 912810SE9 , 100.875000 , 0.015625
